Name	CheckpointCER	LearningIteration	TrainingIteration	EvalCER	IterationCER	ValidationCER
		92	100		10	
		189	200		10.793	
		280	300		9.95	
		361	400		9.582	
		447	500		9.103	
		531	600		8.813	
		618	700		8.501	
		706	800		8.331	
		786	900		8.122	
		867	1000		7.866	
		945	1100		7.341	
		1027	1200		6.886	
		1106	1300		6.603	
		1185	1400		6.221	
		1262	1500		6.034	
		1339	1600		5.78	
		1411	1700		5.718	
		1475	1800		5.328	
		1546	1900		5.162	
		1622	2000		5.029	
		1690	2100		5.143	
		1763	2200		4.832	
		1829	2300		4.694	
		1894	2400		4.626	
		1963	2500		4.553	
		2026	2600		4.453	
		2082	2700		4.201	
		2148	2800		4.227	
		2215	2900		4.217	
		2281	3000		4.136	
		2343	3100		3.883	
		2406	3200		3.861	
		2469	3300		3.74	
		2529	3400		3.736	
		2576	3500		3.519	
		2628	3600		3.458	
		2685	3700		3.389	
		2738	3800		3.437	
		2791	3900		3.254	
		2850	4000		3.191	
		2903	4100		3.131	
		2955	4200		3.058	
		3002	4300		3.05	
		3044	4400		2.873	
		3099	4500		2.882	
		3144	4600		2.864	
		3195	4700		2.885	
		3243	4800		2.746	
		3296	4900		2.694	
		3338	5000		2.588	
		3389	5100		2.628	
		3422	5200		2.494	
		3466	5300		2.46	
		3512	5400		2.446	
		3559	5500		2.478	
		3599	5600		2.4	
		3648	5700		2.322	
		3689	5800		2.282	
		3735	5900		2.247	
		3778	6000		2.293	
		3813	6100		2.164	
		3856	6200		2.175	
		3900	6300		2.163	
		3946	6400		2.203	
		3985	6500		2.121	
		4031	6600		2.098	
		4071	6700		2.026	
		4118	6800		2.034	
		4147	6900		1.956	
		4183	7000		1.905	
		4223	7100		1.882	
		4261	7200		1.883	
		4301	7300		1.863	
		4346	7400		1.814	
		4386	7500		1.8	
		4424	7600		1.735	
		4464	7700		1.782	
		4496	7800		1.69	
		4533	7900		1.712	
		4569	8000		1.704	
		4610	8100		1.732	
		4648	8200		1.728	
		4685	8300		1.687	
		4720	8400		1.62	
		4765	8500		1.63	
		4793	8600		1.591	
		4823	8700		1.526	
		4858	8800		1.543	
		4897	8900		1.56	
		4935	9000		1.574	
		4973	9100		1.537	
		5011	9200		1.545	
		5042	9300		1.498	
		5080	9400		1.542	
		5105	9500		1.439	
		5134	9600		1.453	
		5166	9700		1.499	
		5200	9800		1.494	
		5231	9900		1.474	
		5270	10000		1.472	
