ocreval Word Accuracy Report Version 7.0
----------------------------------------
     904   Words
      92   Misrecognized
   89.82%  Accuracy

Stopwords
   Count   Missed   %Right   Length
       0        0   ------    Total

Non-stopwords
   Count   Missed   %Right   Length
       8        1    87.50        3
      77        6    92.21        6
       4        2    50.00        7
     156       14    91.03        9
      20        1    95.00       10
     214       13    93.93       12
       3        2    33.33       13
     168       10    94.05       15
      91       10    89.01       18
       1        0   100.00       19
      56        9    83.93       21
      35        7    80.00       24
      27        4    85.19       27
      25        4    84.00       30
       5        2    60.00       33
      11        5    54.55       36
       2        1    50.00       39
       1        1     0.00       45
     904       92    89.82    Total

Distinct Non-stopwords
   Count   Missed   %Right   Occurs
     452       71    84.29        1
      68        0   100.00        2
      31        0   100.00        3
      17        0   100.00        4
       7        0   100.00        5
       4        0   100.00        6
       3        0   100.00        7
       4        0   100.00        8
       2        0   100.00       10
       2        0   100.00      >10
     590       71    87.97    Total

Phrases
   Count   Missed   %Right   Length
     904       92    89.82        1
     903      173    80.84        2
     902      240    73.39        3
     901      301    66.59        4
     900      356    60.44        5
     899      406    54.84        6
     898      451    49.78        7
     897      493    45.04        8

Non-stopwords
   Count   Missed   %Right   
       2        1    50.00   অত্যন্ত
       1        0   100.00   অদ্ভুত
       1        0   100.00   অধিকার
       1        0   100.00   অধিকারে
       1        0   100.00   অনাহারে
       1        0   100.00   অনেক
       1        0   100.00   অনেকক্ষণ
       1        0   100.00   অনেকের
       1        0   100.00   অন্তরের
       1        0   100.00   অন্ধকারে
       1        0   100.00   অন্ধকারের
       1        0   100.00   অন্যপাশে
       1        0   100.00   অন্যায়
       2        0   100.00   অপ্রত্যাশিত
       1        0   100.00   অবন্তী
       1        1     0.00   অবসন্ন
       1        0   100.00   অবস্থায়
       1        0   100.00   অমত
       1        1     0.00   অমৃতের
       1        0   100.00   অলস
       1        0   100.00   আকাশ
       1        0   100.00   আকাশে
       2        0   100.00   আকাশের
       2        0   100.00   আগে
       1        0   100.00   আগের
       1        1     0.00   আঙুলও
       1        0   100.00   আচ্ছা
       4        0   100.00   আছে
       1        1     0.00   আজ
       1        0   100.00   আনত
       1        1     0.00   আনতে
       1        0   100.00   আনন্দিত
       1        0   100.00   আনন্দে
       1        0   100.00   আপন
       4        0   100.00   আপনি
       3        0   100.00   আবার
       1        0   100.00   আমলে
